epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,total
1,0.0001,1.0798382088541985,0.0,0.0,1.0116970390081406,0.4874750226736069,0.5242220275104046,1.0899551808834076
2,9.728616793536588e-05,0.9031780436635017,0.0,0.0,1.0005102008581161,0.4722313713282347,0.5282788276672363,0.9131831601262093
3,8.9471999940354e-05,0.7787227630615234,0.0,0.0,0.9958883300423622,0.4710574336349964,0.5248308777809143,0.788681648671627
4,7.75e-05,0.6653352677822113,0.0,0.0,0.996034637093544,0.4719311594963074,0.5241034720093012,0.6752956062555313
5,6.281416799501188e-05,0.5757156759500504,0.0,0.0,0.9942946806550026,0.4715993106365204,0.5226953662931919,0.5856586247682571
6,4.7185832004988135e-05,0.5148174948990345,0.0,0.0,0.9941250756382942,0.47110190615057945,0.5230231545865536,0.5247587412595749
7,3.250000000000001e-05,0.47535334900021553,0.0,0.0,0.9937469959259033,0.47120601683855057,0.5225409790873528,0.485290814191103
8,2.0528000059645997e-05,0.4509887583553791,0.0,0.0,0.9926908984780312,0.4708287511020899,0.5218621492385864,0.460915669798851
9,1.2713832064634127e-05,0.437204334884882,0.0,0.0,0.9924650713801384,0.4708309508860111,0.5216341149061918,0.447128988802433
10,1e-05,0.42867816612124443,0.0,0.0,0.9918972998857498,0.47063820250332355,0.5212591011077166,0.4385971352458
