epoch,lr,jepa,lnn,hnn,sup,sup_theta,sup_omega,sup_fd,total
1,0.0001,0.0,0.0,0.0,352.2511352539062,0.47096638977527616,0.535950809220473,700.3446329752604,3.5225113232930503
2,9.728616793536588e-05,0.0,0.0,0.0,352.03252563476565,0.469316108028094,0.5238172208269437,699.9835144042969,3.5203251679738363
3,8.9471999940354e-05,1.0063339988390605,0.0,0.0,352.2552734375,0.47255242665608727,0.5458816597859065,700.2901458740234,4.528886667887369
4,7.75e-05,0.768259584903717,0.0,0.0,351.8775573730469,0.4687849591175715,0.5420095706979434,699.5654907226562,4.287035036087036
5,6.281416799501188e-05,0.592363464832306,0.0,0.0,349.7522486368815,0.469121523698171,0.5407780542969703,695.3215901692708,4.089885830879211
6,4.7185832004988135e-05,0.48563652237256366,0.0,0.0,304.75502014160156,0.4529285192489624,1.514515821635723,599.51708984375,3.533186594645182
7,3.250000000000001e-05,0.4321637729803721,0.0,0.0,249.13714803059895,0.46199384331703186,4.381697765986124,471.06012369791665,2.9235352357228597
8,2.0528000059645997e-05,0.38150598804155983,0.0,0.0,218.33331044514975,0.4189534584681193,5.704341824849447,401.6026641845703,2.5648390452067056
9,1.2713832064634127e-05,0.36091389656066897,0.0,0.0,203.97323862711588,0.3705903500318527,7.265323273340861,363.6133534749349,2.400646217664083
10,1e-05,0.3470393240451813,0.0,0.0,196.0180867513021,0.3408472870786985,8.0830632686615,342.85609944661456,2.30722013314565
